,title,experience,location,skills
0,SENIOR AIR QUALITY /METEOROLOGY SPECIALIST,8 - 10 Year(s),Jubail - Saudi Arabia,The Candidate should have a Bachelors degree in Chemical / Environmental Engineering (Post Graduates is preferred) with 8 years working experience in...
0,AIR QUALITY / METEOROLOGY TECHNICIAN,2 - 3 Year(s),Jubail - Saudi Arabia,A Chemical Engineering graduate with at least 3 to 5 years of working experience in chemical/ petrochemical plants or refineries as engineer; Capable to...
0,SENIOR FIELD TECHNICIAN,4 - 5 Year(s),Jubail - Saudi Arabia,Shall be a degree holder in Electronics or Electrical Engineering and Four years related experience is required;Shall be a degree holder in Electronics...
0,AIR QUALITY /METEOROLOGY SPECIALIST,3 - 5 Year(s),Jubail - Saudi Arabia,The Candidate should have a Bachelors degree in Chemical / Environmental Engineering with 4 years working experience in air quality as below
0,AIR QUALITY/ MONITORING COMPUTER TECHNICIAN,3 - 4 Year(s),Jubail - Saudi Arabia,PostgreSQL and experience with large environmental data tracking systems and integration projects;PostgreSQL and experience with large environmental...
0,Accountant,12 - 15 Year(s),Riyadh - Saudi Arabia,We are looking for an Accountant Candidates should have min 12 years of experience Should have experience in engineering Consulting Company...
0,Senior Accountant,4 - 9 Year(s),Saudi Arabia - Saudi Arabia,Driving License is must Min qualification - B Com Experience - Min 4 years Experienced in
0,Safety Manager,9 - 18 Year(s),Jubail - Saudi Arabia,"Good knowledge and experience in firefighting system handling;This role not only ensures the health and safety of the workers but also of the workplace,..."
0,Marine Construction Expert,15 - 26 Year(s),Ras al Khair - Saudi Arabia,"Candidates should have experience of new port and shipyeard construction including such things as dredging and reclamation, quay walls, breakwaters,..."
0,Medical Coding Trainer - ICD10-AM,4 - 9 Year(s),Jeddah - Saudi Arabia,Minimum of 2 years medical coding Training in a professional coding training institute experience mandatory;Excellent communication skills with neutral...
0,Electrical Electronics Engineer إلكترونيات كهربائية,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",1- Minimum Bachelor degree in Electronics Engineering from an accredited College or University 2 - Minimum 7 years experience specializing in...
0,Building Management System (BMS) Engineer اعمال صيانة,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",2 -• Minimum seven 7 years’ experience in the Building Management System (BMS) maintenance and to include experience in large size...
0,Biomedical Service Engineer مهندس الطب الحيوي,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",Minimum 7 years’ experience specializing in the field of healthcare maintenance services and to include experience in similar equipment;Preferably...
0,Civil Engineer مهندس مدني,5 - 10 Year(s),"Jeddah , Riyadh - Saudi Arabia",• Minimum five years of experience and to include at least three years in the operation and maintenance of building/civil services in...
0,Technician and Skilled Labors فنيين وعمال مهرة,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1 - Minimum Diploma in the same trade from an accredited organization;2 - Minimum three years of experience in large projects 3 - Computers and...
0,Chiller Engineer / HVAC Engineer مهندس التبريد,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Minimum Bachelor degree in Mechanical engineering from an accredited Engineering College or university 2- Minimum 8 years’ experience in...
